City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-6.24,78,39,5.3,GS,1718229049
1,hermanus,-34.4187,19.2345,14.19,84,0,0.94,ZA,1718229049
2,qarauyl,48.9451,79.255,13.34,81,80,0.09,KZ,1718229049
3,tommot,58.9564,126.2925,14.49,78,97,0.26,RU,1718229049
4,chapaev,50.2,51.1667,23.26,44,100,4.0,KZ,1718229049
5,bilibino,68.0546,166.4372,13.66,44,1,1.77,RU,1718229049
6,maturin,9.75,-63.1767,27.7,67,100,3.91,VE,1718229045
7,albany,42.6001,-73.9662,23.03,58,100,1.34,US,1718228780
8,port elizabeth,-33.918,25.5701,16.16,75,0,8.75,ZA,1718229049
9,harstad,68.799,16.5293,10.66,98,98,0.89,NO,1718229049
10,acapulco de juarez,16.8634,-99.8901,30.9,70,75,3.6,MX,1718229049
11,santyoku,37.4406,129.1708,22.07,62,96,1.95,KR,1718229049
12,callao,-12.0667,-77.15,24.68,82,100,3.6,PE,1718229049
13,bethel,41.3712,-73.414,24.56,57,100,0.45,US,1718229049
14,bokhan,53.153,103.7714,11.8,91,11,1.73,RU,1718229049
15,blackmans bay,-43.0167,147.3167,2.07,76,78,1.91,AU,1718229049
16,san mariano,7.5,126.0,23.59,95,98,1.01,PH,1718229049
17,thompson,55.7435,-97.8558,20.09,42,75,6.17,CA,1718229049
18,nahan,30.55,77.3,30.07,16,0,2.98,IN,1718229049
19,adamstown,-25.066,-130.1015,20.57,75,61,7.57,PN,1718229049
20,loralai,30.3705,68.598,24.54,21,4,2.24,PK,1718229050
21,papatowai,-46.5619,169.4708,6.76,68,100,3.2,NZ,1718229050
22,waitangi,-43.9535,-176.5597,9.9,96,41,1.79,NZ,1718229050
23,rongelap,11.1635,166.8941,27.94,82,67,10.59,MH,1718229050
24,lebu,-37.6167,-73.65,13.22,93,100,9.03,CL,1718229050
25,chibougamau,49.9168,-74.3659,21.79,49,40,7.2,CA,1718229050
26,edinburgh of the seven seas,-37.0676,-12.3116,12.8,60,22,13.58,SH,1718229050
27,ribeira grande,38.5167,-28.7,21.54,84,73,3.24,PT,1718229050
28,hadibu,12.65,54.0333,27.76,75,12,6.03,YE,1718229050
29,bel ombre,-4.6167,55.4167,25.91,89,75,1.03,SC,1718229050
30,san patricio,28.017,-97.5169,36.05,45,50,5.6,US,1718229050
31,trincomalee,8.5711,81.2335,28.25,76,100,9.68,LK,1718229050
32,puerto ayora,-0.7393,-90.3518,25.98,88,31,2.24,EC,1718228794
33,ushuaia,-54.8,-68.3,-2.19,80,0,2.06,AR,1718228810
34,alaghsas,17.0187,8.0168,31.37,34,95,4.68,NE,1718229050
35,revda,56.801,59.9303,17.09,96,23,2.32,RU,1718229050
36,utrik,11.2278,169.8474,27.99,82,32,9.73,MH,1718229050
37,longyearbyen,78.2186,15.6401,1.91,87,75,9.77,SJ,1718229050
38,banikoara,11.2985,2.4386,27.27,69,7,1.86,BJ,1718229050
39,bamboo flat,11.7,92.7167,28.05,89,40,2.57,IN,1718229050
40,inhambane,-23.865,35.3833,19.25,69,1,2.48,MZ,1718229050
41,anadyr,64.75,177.4833,7.28,75,40,3.0,RU,1718229050
42,alice springs,-23.7,133.8833,8.75,76,0,2.57,AU,1718228851
43,stanley,54.868,-1.6985,9.01,90,20,1.03,GB,1718229050
44,hasaki,35.7333,140.8333,20.22,80,100,1.99,JP,1718229050
45,punta arenas,-53.15,-70.9167,0.06,100,100,7.72,CL,1718228773
46,ilulissat,69.2167,-51.1,1.01,100,100,6.17,GL,1718229051
47,cidreira,-30.1811,-50.2056,18.72,89,8,3.18,BR,1718229051
48,mollendo,-17.0231,-72.0147,16.41,84,77,2.25,PE,1718229051
49,pangai,-19.8,-174.35,26.06,94,75,4.63,TO,1718229051
50,port-aux-francais,-49.35,70.2167,2.17,76,89,16.97,TF,1718229051
51,okhotsk,59.3833,143.3,8.64,79,24,2.38,RU,1718229051
52,nar'yan-mar,67.6713,53.087,13.39,74,64,3.13,RU,1718229051
53,isafjordur,66.0755,-23.124,9.38,73,85,1.39,IS,1718229051
54,santa cruz,-17.8,-63.1667,27.7,69,20,7.2,BO,1718229051
55,cabedelo,-6.9811,-34.8339,26.37,81,78,5.89,BR,1718229051
56,badger,64.8,-147.5333,15.95,81,100,6.69,US,1718229051
57,quellon,-43.1167,-73.6167,10.62,95,100,5.16,CL,1718229051
58,benguela,-12.5763,13.4055,21.81,72,0,1.33,AO,1718229051
59,mount gambier,-37.8333,140.7667,8.25,74,100,1.64,AU,1718229051
60,merizo village,13.2658,144.6691,28.54,90,98,5.7,GU,1718229051
61,tiksi,71.6872,128.8694,5.28,71,82,2.22,RU,1718229051
62,ca mau,9.1769,105.15,27.11,82,70,2.05,VN,1718229051
63,saldanha,-33.0117,17.9442,10.03,87,0,1.13,ZA,1718229051
64,vilcun,-38.65,-72.2333,10.41,91,100,6.5,CL,1718229051
65,jilib,0.4883,42.7854,22.55,91,55,2.27,SO,1718229051
66,broome,42.2506,-75.833,24.15,63,40,0.89,US,1718229051
67,wailua homesteads,22.0669,-159.378,28.24,82,75,6.69,US,1718229051
68,vorgashor,67.5833,63.95,7.67,99,100,1.34,RU,1718229052
69,santana,-0.0583,-51.1817,29.1,84,20,1.54,BR,1718229052
70,ifrane,33.3333,-5.25,14.43,66,29,3.48,MA,1718229052
71,mount isa,-20.7333,139.5,7.87,76,1,2.06,AU,1718229052
72,papao,-17.75,-149.55,27.82,71,18,7.62,PF,1718229052
73,troitsko-pechorsk,62.7084,56.1964,14.36,97,25,1.57,RU,1718229052
74,puerto natales,-51.7236,-72.4875,1.25,86,75,6.69,CL,1718229052
75,kolonia town,6.964,158.206,29.06,84,100,5.14,FM,1718229052
76,guozhen,34.3659,107.359,26.03,37,100,1.92,CN,1718229052
77,kamaishi,39.2667,141.8833,22.01,75,8,2.72,JP,1718229052
78,carnarvon,-24.8667,113.6333,18.24,74,0,6.62,AU,1718229052
79,klyuchi,52.2667,79.1667,14.35,85,99,1.3,RU,1718229052
80,sassnitz,54.5167,13.65,9.89,83,85,6.36,DE,1718229052
81,novodvinsk,64.4165,40.8122,12.86,97,100,1.78,RU,1718229052
82,invercargill,-46.4,168.35,6.12,86,100,1.3,NZ,1718229052
83,lahaina,20.8783,-156.6825,29.58,78,5,4.13,US,1718229052
84,hithadhoo,-0.6,73.0833,28.34,73,72,2.12,MV,1718229052
85,thurso,58.5927,-3.5259,8.25,85,89,1.51,GB,1718229052
86,mount pearl,47.5166,-52.7813,14.07,88,100,4.63,CA,1718228960
87,holualoa,19.6228,-155.9522,25.91,81,40,4.63,US,1718229052
88,macae,-22.3708,-41.7869,24.86,61,0,4.12,BR,1718229009
89,pavlovsk,50.4578,40.1081,21.08,94,98,2.29,RU,1718229052
90,alofi,-19.0595,-169.9187,26.94,78,100,5.66,NU,1718229053
91,lompoc,34.6391,-120.4579,18.8,85,100,3.6,US,1718229053
92,tralee,52.2704,-9.7026,11.45,78,100,2.63,IE,1718229053
93,bredasdorp,-34.5322,20.0403,12.19,89,0,1.46,ZA,1718229053
94,pasighat,28.0667,95.3333,24.56,98,91,1.07,IN,1718229053
95,dunedin,-45.8742,170.5036,8.78,77,100,3.58,NZ,1718228775
96,margaret river,-33.95,115.0667,11.1,78,7,1.66,AU,1718229053
97,masterton,-40.9597,175.6575,7.71,77,100,1.77,NZ,1718229053
98,whitehorse,60.7161,-135.0538,18.78,28,40,6.71,CA,1718229053
99,ust-nera,64.5667,143.2,15.23,47,93,0.64,RU,1718229053
100,ketchikan,55.3422,-131.6461,14.08,62,75,5.14,US,1718229053
101,afaahiti,-17.75,-149.2833,26.93,72,80,6.8,PF,1718229053
102,saguenay,48.4168,-71.0657,24.06,66,75,3.6,CA,1718229010
103,yellowknife,62.456,-114.3525,14.67,56,75,4.63,CA,1718229053
104,olinda,-8.0089,-34.8553,24.85,88,75,8.23,BR,1718229052
105,pangody,65.85,74.4859,13.35,90,99,2.99,RU,1718229053
106,sitka,57.0531,-135.33,11.94,66,20,5.66,US,1718229053
107,iskateley,67.6803,53.1512,13.34,74,66,3.13,RU,1718229053
108,kotka,60.4664,26.9458,11.59,85,30,4.2,FI,1718229053
109,aasiaat,68.7098,-52.8699,0.56,95,100,6.55,GL,1718229053
110,jamestown,42.097,-79.2353,24.18,46,75,4.12,US,1718229053
111,corner brook,48.9667,-57.9484,22.09,75,100,3.52,CA,1718228958
